#,Status,Star,Problem,Difficulty,Score,Category,Pattern
1,TODO,FALSE,[Contains Duplicate](https://leetcode.com/problems/contains-duplicate/),Easy,,,
2,TODO,FALSE,[Valid Anagram](https://leetcode.com/problems/valid-anagram/),Easy,,,
3,TODO,FALSE,[Replace Elements With Greatest Element On Right Side](https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side/),Easy,,,
4,TODO,TRUE,[Is Subsequence](https://leetcode.com/problems/is-subsequence/),Easy,,,
5,TODO,FALSE,[Length of Last Word](https://leetcode.com/problems/length-of-last-word/),Easy,,,
6,TODO,FALSE,[Two Sum](https://leetcode.com/problems/two-sum/),Easy,,,
7,TODO,FALSE,[Longest Common Prefix](https://leetcode.com/problems/longest-common-prefix/),Easy,,,
8,TODO,FALSE,[Group Anagrams](https://leetcode.com/problems/group-anagrams/),Medium,,,
9,TODO,FALSE,[Pascals Triangle](https://leetcode.com/problems/pascals-triangle/),Easy,,,
10,TODO,FALSE,[Remove Element](https://leetcode.com/problems/remove-element/),Easy,,,
11,TODO,FALSE,[Unique Email Addresses](https://leetcode.com/problems/unique-email-addresses/),Easy,,,
12,TODO,FALSE,[Isomorphic Strings](https://leetcode.com/problems/isomorphic-strings/),Easy,,,
13,REPEAT,FALSE,[Can Place Flowers](https://leetcode.com/problems/can-place-flowers/),Easy,0,"Array, Sliding Window",
14,REPEAT,FALSE,[Majority Element](https://leetcode.com/problems/majority-element/),Easy,3,"Boyer-Moore Voting Algorithm, hash maps",
15,TODO,FALSE,[Next Greater Element I](https://leetcode.com/problems/next-greater-element-i/),Easy,,,
16,TODO,FALSE,[Find Pivot Index](https://leetcode.com/problems/find-pivot-index/),Easy,,,
17,TODO,FALSE,[Range Sum Query - Immutable](https://leetcode.com/problems/range-sum-query-immutable/),Easy,,,
18,TODO,FALSE,[Find All Numbers Disappeared in An Array](https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/),Easy,,,
19,TODO,FALSE,[Maximum Number of Balloons](https://leetcode.com/problems/maximum-number-of-balloons/),Easy,,,
20,TODO,FALSE,[Word Pattern](https://leetcode.com/problems/word-pattern/),Easy,,,
21,TODO,FALSE,[Design HashMap](https://leetcode.com/problems/design-hashmap/),Easy,,,
22,TODO,FALSE,[Top K Frequent Elements](https://leetcode.com/problems/top-k-frequent-elements/),Medium,,,
23,TODO,FALSE,[Product of Array Except Self](https://leetcode.com/problems/product-of-array-except-self/),Medium,,,
24,TODO,FALSE,[Valid Sudoku](https://leetcode.com/problems/valid-sudoku/),Medium,,,
25,TODO,FALSE,[Encode and Decode Strings](https://leetcode.com/problems/encode-and-decode-strings/),Medium,,,
26,TODO,FALSE,[Longest Consecutive Sequence](https://leetcode.com/problems/longest-consecutive-sequence/),Medium,,,
27,TODO,FALSE,[Sort Colors](https://leetcode.com/problems/sort-colors/),Medium,,,
28,TODO,FALSE,[Encode and Decode TinyURL](https://leetcode.com/problems/encode-and-decode-tinyurl/),Medium,,,
29,TODO,FALSE,[Brick Wall](https://leetcode.com/problems/brick-wall/),Medium,,,
30,TODO,FALSE,[Best Time to Buy And Sell Stock II](https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/),Medium,,,
31,TODO,FALSE,[Subarray Sum Equals K](https://leetcode.com/problems/subarray-sum-equals-k/),Medium,,,
32,TODO,FALSE,[Unique Length 3 Palindromic Subsequences](https://leetcode.com/problems/unique-length-3-palindromic-subsequences/),Medium,,,
33,TODO,FALSE,[Minimum Number of Swaps to Make The String Balanced](https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/),Medium,,,
34,TODO,FALSE,[Number of Pairs of Interchangeable Rectangles](https://leetcode.com/problems/number-of-pairs-of-interchangeable-rectangles/),Medium,,,
35,TODO,FALSE,[Maximum Product of The Length of Two Palindromic Subsequences](https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-subsequences/),Medium,,,
36,TODO,FALSE,[Grid Game](https://leetcode.com/problems/grid-game/),Medium,,,
37,TODO,FALSE,[Find All Anagrams in a String](https://leetcode.com/problems/find-all-anagrams-in-a-string/),Medium,,,
38,TODO,FALSE,[Find The Index of The First Occurrence in a String](https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/),Medium,,,
39,TODO,FALSE,[Wiggle Sort](https://leetcode.com/problems/wiggle-sort/),Medium,,,
40,TODO,FALSE,[Largest Number](https://leetcode.com/problems/largest-number/),Medium,,,
41,TODO,FALSE,[Continuous Subarray Sum](https://leetcode.com/problems/continuous-subarray-sum/),Medium,,,
42,TODO,FALSE,[Push Dominoes](https://leetcode.com/problems/push-dominoes/),Medium,,,
43,TODO,FALSE,[Repeated DNA Sequences](https://leetcode.com/problems/repeated-dna-sequences/),Medium,,,
44,TODO,FALSE,[Insert Delete Get Random O(1) ](https://leetcode.com/problems/insert-delete-getrandom-o1/),Medium,,,
45,TODO,FALSE,[Check if a String Contains all Binary Codes of Size K](https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/),Medium,,,
46,TODO,FALSE,[Range Sum Query 2D Immutable](https://leetcode.com/problems/range-sum-query-2d-immutable/),Medium,,,
47,TODO,FALSE,[Non Decreasing Array](https://leetcode.com/problems/non-decreasing-array/),Medium,,,
48,TODO,FALSE,[First Missing Positive](https://leetcode.com/problems/first-missing-positive/),Hard,,,
49,TODO,FALSE,[Valid Palindrome](https://leetcode.com/problems/valid-palindrome/),Easy,,,
50,TODO,FALSE,[Valid Palindrome II](https://leetcode.com/problems/valid-palindrome-ii/),Easy,,,
51,REPEAT,FALSE,[Minimum Difference Between Highest And Lowest of K Scores](https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/),Easy,2.5,"Array, Sliding Window",
52,TODO,FALSE,[Reverse String](https://leetcode.com/problems/reverse-string/),Easy,,,
53,TODO,FALSE,[Merge Sorted Array](https://leetcode.com/problems/merge-sorted-array/),Easy,,,
54,TODO,FALSE,[Move Zeroes](https://leetcode.com/problems/move-zeroes/),Easy,,,
55,TODO,FALSE,[Remove Duplicates From Sorted Array](https://leetcode.com/problems/remove-duplicates-from-sorted-array/),Easy,,,
56,TODO,FALSE,[Two Sum II Input Array Is Sorted](https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/),Medium,,,
57,TODO,FALSE,[3Sum](https://leetcode.com/problems/3sum/),Medium,,,
58,TODO,FALSE,[4Sum](https://leetcode.com/problems/4sum/),Medium,,,
59,TODO,FALSE,[Container With Most Water](https://leetcode.com/problems/container-with-most-water/),Medium,,,
60,TODO,FALSE,[Number of Subsequences That Satisfy The Given Sum Condition](https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/),Medium,,,
61,TODO,FALSE,[Rotate Array](https://leetcode.com/problems/rotate-array/),Medium,,,
